feature,coef,std_err,p_value,pos_group,target,n,r2,q_value
z_cone,-0.0217008,0.104552,0.835573,RB,log_pick,211,0.368982,0.939431
z_shuttle,0.0314726,0.0773759,0.684192,RB,log_pick,211,0.368982,0.912371
forty_missing,-0.302454,0.200262,0.13097,RB,log_pick,211,0.368982,0.423525
bench_missing,0.224133,0.152557,0.141785,RB,log_pick,211,0.368982,0.441624
vertical_missing,-0.309796,0.340424,0.362807,RB,log_pick,211,0.368982,0.667884
broad_missing,0.540607,0.302726,0.074132,RB,log_pick,211,0.368982,0.320115
agility_missing,0.0348997,0.123549,0.777578,RB,log_pick,211,0.368982,0.939431
age_at_draft,-0.253019,0.0624996,5.15834e-05,RB,log_pick,211,0.368982,0.00163347
power_conf,0.253698,0.160793,0.114614,RB,log_pick,211,0.368982,0.404899
final_rush_ypg,0.140178,0.136387,0.304048,RB,log_pick,211,0.368982,0.601762
final_rush_ypc,0.0547505,0.0609577,0.369094,RB,log_pick,211,0.368982,0.667884
final_rush_yds_share,-0.105594,0.0987545,0.284955,RB,log_pick,211,0.368982,0.594961
final_rec_ypg,0.105856,0.0553578,0.0558494,RB,log_pick,211,0.368982,0.275321
final_total_td_per_game,0.168916,0.072476,0.0197721,RB,log_pick,211,0.368982,0.14479
college_seasons,-0.0263556,0.0753821,0.726619,RB,log_pick,211,0.368982,0.937184
draft_year_c,-0.178865,0.306777,0.559863,RB,log_pick,211,0.368982,0.831047
z_height_in,-0.167033,0.195328,0.392474,RB,drafted,364,0.311017,0.636445
z_weight_lb,0.915327,0.220062,3.19082e-05,RB,drafted,364,0.311017,0.000957246
z_forty,1.07712,0.231222,3.18702e-06,RB,drafted,364,0.311017,0.000114733
z_bench,-0.169178,0.180721,0.349206,RB,drafted,364,0.311017,0.610535
z_vertical,-0.341461,0.203231,0.0929255,RB,drafted,364,0.311017,0.334012
z_broad,0.523002,0.214336,0.0146831,RB,drafted,364,0.311017,0.0978872
z_cone,-0.319971,0.192299,0.0961282,RB,drafted,364,0.311017,0.334012
z_shuttle,0.256473,0.209644,0.221188,RB,drafted,364,0.311017,0.517063
forty_missing,0.515086,0.426674,0.227351,RB,drafted,364,0.311017,0.523506
bench_missing,-0.143045,0.333476,0.667959,RB,drafted,364,0.311017,0.843823
vertical_missing,0.276838,0.634275,0.662501,RB,drafted,364,0.311017,0.843823
broad_missing,-0.498158,0.559811,0.373536,RB,drafted,364,0.311017,0.623729
agility_missing,-0.0816623,0.349916,0.815469,RB,drafted,364,0.311017,0.913702
power_conf,1.3394,0.389081,0.000576419,RB,drafted,364,0.311017,0.0103755
final_rush_ypg,-0.131118,0.348146,0.706457,RB,drafted,364,0.311017,0.843823
final_rush_ypc,0.567543,0.196291,0.00383614,RB,drafted,364,0.311017,0.0479363
final_rush_yds_share,0.754343,0.262852,0.00410687,RB,drafted,364,0.311017,0.0479363
final_rec_ypg,0.522703,0.192214,0.00654036,RB,drafted,364,0.311017,0.0539139
final_total_td_per_game,0.227622,0.214181,0.287895,RB,drafted,364,0.311017,0.584146
college_seasons,-0.0846928,0.165279,0.608356,RB,drafted,364,0.311017,0.829576
draft_year_c,-0.984424,0.585108,0.0924786,RB,drafted,364,0.311017,0.334012
z_height_in,-0.0662422,0.0522318,0.204714,RB,draft_capital,364,0.351444,0.528171
z_weight_lb,0.272972,0.058773,3.40872e-06,RB,draft_capital,364,0.351444,8.76528e-05
z_forty,0.2616,0.0555464,2.48242e-06,RB,draft_capital,364,0.351444,7.44727e-05
z_bench,-0.0428904,0.041688,0.303553,RB,draft_capital,364,0.351444,0.615441
z_vertical,-0.0126087,0.073385,0.863583,RB,draft_capital,364,0.351444,0.986533
z_broad,0.0691805,0.0699308,0.32253,RB,draft_capital,364,0.351444,0.624252
z_cone,-0.0439515,0.0684005,0.520509,RB,draft_capital,364,0.351444,0.792519
z_shuttle,0.0141723,0.0544483,0.794641,RB,draft_capital,364,0.351444,0.971656
forty_missing,-0.0105135,0.13746,0.939034,RB,draft_capital,364,0.351444,0.986533
bench_missing,0.0384592,0.100573,0.702163,RB,draft_capital,364,0.351444,0.890066
vertical_missing,-0.332174,0.309939,0.283836,RB,draft_capital,364,0.351444,0.615441
broad_missing,0.350327,0.278444,0.208334,RB,draft_capital,364,0.351444,0.528171
agility_missing,0.00889425,0.0846394,0.916309,RB,draft_capital,364,0.351444,0.986533
power_conf,0.32145,0.0896953,0.000338626,RB,draft_capital,364,0.351444,0.00468867
final_rush_ypg,0.0894067,0.092306,0.33275,RB,draft_capital,364,0.351444,0.637181
final_rush_ypc,0.0960956,0.0393451,0.0145909,RB,draft_capital,364,0.351444,0.11419
final_rush_yds_share,0.0723613,0.0708455,0.307067,RB,draft_capital,364,0.351444,0.615441
final_rec_ypg,0.109511,0.0368644,0.00297177,RB,draft_capital,364,0.351444,0.0297177
final_total_td_per_game,0.11625,0.0688358,0.0912564,RB,draft_capital,364,0.351444,0.343371
college_seasons,-0.0350488,0.0476182,0.461708,RB,draft_capital,364,0.351444,0.772073
draft_year_c,-0.1487,0.211723,0.482471,RB,draft_capital,364,0.351444,0.775399
z_height_in,-0.0254816,0.0701693,0.716497,WR,log_pick,327,0.373984,0.934852
z_weight_lb,0.11303,0.0753783,0.133745,WR,log_pick,327,0.373984,0.423525
z_forty,0.198648,0.0518889,0.000129015,WR,log_pick,327,0.373984,0.00280297
z_bench,0.0548122,0.0464239,0.237727,WR,log_pick,327,0.373984,0.564601
z_vertical,0.0096473,0.0602591,0.872805,WR,log_pick,327,0.373984,0.953063
z_broad,0.0546892,0.058201,0.347391,WR,log_pick,327,0.373984,0.653669
z_cone,0.103357,0.0519387,0.0465921,WR,log_pick,327,0.373984,0.260367
z_shuttle,0.0345767,0.0588644,0.556937,WR,log_pick,327,0.373984,0.831047
forty_missing,0.623265,0.250255,0.0127557,WR,log_pick,327,0.373984,0.119249
bench_missing,0.167927,0.104354,0.107572,WR,log_pick,327,0.373984,0.404899
vertical_missing,0.0362116,0.251727,0.885617,WR,log_pick,327,0.373984,0.956064
broad_missing,-0.021042,0.227751,0.926388,WR,log_pick,327,0.373984,0.974155
agility_missing,0.0783616,0.102389,0.444073,WR,log_pick,327,0.373984,0.721144
age_at_draft,-0.249825,0.0485074,2.60154e-07,WR,log_pick,327,0.373984,1.64764e-05
power_conf,0.330983,0.104094,0.00147458,WR,log_pick,327,0.373984,0.0233475
final_rec_yds_share,-0.00605837,0.103586,0.953361,WR,log_pick,327,0.373984,0.976683
final_dominator,0.120013,0.101236,0.235827,WR,log_pick,327,0.373984,0.564601
final_yds_per_target,0.157484,0.0791079,0.0465082,WR,log_pick,327,0.373984,0.260367
final_rec_ypr,-0.0398532,0.0780979,0.609843,WR,log_pick,327,0.373984,0.871204
best_rec_yds_share,0.114488,0.0671823,0.0883557,WR,log_pick,327,0.373984,0.357183
college_seasons,-0.180496,0.0691541,0.00905282,WR,log_pick,327,0.373984,0.0955575
draft_year_c,0.176371,0.264658,0.505148,WR,log_pick,327,0.373984,0.78031
z_height_in,-0.290293,0.154395,0.0600818,WR,drafted,559,0.185527,0.284598
z_weight_lb,0.298705,0.147899,0.043419,WR,drafted,559,0.185527,0.236831
z_forty,0.833802,0.132366,2.99122e-10,WR,drafted,559,0.185527,5.3842e-08
z_bench,0.207984,0.116697,0.0747087,WR,drafted,559,0.185527,0.3083
z_vertical,-0.00808985,0.148328,0.956505,WR,drafted,559,0.185527,0.961848
z_broad,0.0597213,0.152425,0.6952,WR,drafted,559,0.185527,0.843823
z_cone,0.0535863,0.114603,0.640082,WR,drafted,559,0.185527,0.835355
z_shuttle,0.342026,0.121867,0.00500744,WR,drafted,559,0.185527,0.048189
forty_missing,-0.489122,0.35599,0.169449,WR,drafted,559,0.185527,0.448416
bench_missing,0.345085,0.24456,0.158231,WR,drafted,559,0.185527,0.445025
vertical_missing,0.372327,0.579264,0.520381,WR,drafted,559,0.185527,0.749349
broad_missing,-0.196551,0.520205,0.705555,WR,drafted,559,0.185527,0.843823
agility_missing,-0.0893431,0.24648,0.716996,WR,drafted,559,0.185527,0.849074
power_conf,0.72648,0.251798,0.00391198,WR,drafted,559,0.185527,0.0479363
final_rec_yds_share,0.0475905,0.281354,0.86568,WR,drafted,559,0.185527,0.932402
final_dominator,0.110509,0.224472,0.622502,WR,drafted,559,0.185527,0.832712
final_yds_per_target,0.318017,0.176418,0.0714464,WR,drafted,559,0.185527,0.306199
final_rec_ypr,-0.230241,0.177902,0.195597,WR,drafted,559,0.185527,0.477349
best_rec_yds_share,0.394238,0.20702,0.0568654,WR,drafted,559,0.185527,0.282402
college_seasons,-0.130248,0.140594,0.354232,WR,drafted,559,0.185527,0.610535
draft_year_c,-0.698548,0.516244,0.176012,WR,drafted,559,0.185527,0.452604
z_height_in,-0.0868641,0.0523802,0.0972489,WR,draft_capital,559,0.292026,0.357241
z_weight_lb,0.120454,0.0556046,0.0302914,WR,draft_capital,559,0.292026,0.160366
z_forty,0.269957,0.0387957,3.44135e-12,WR,draft_capital,559,0.292026,6.19444e-10
z_bench,0.0506383,0.0391205,0.195521,WR,draft_capital,559,0.292026,0.528171
z_vertical,-0.0195469,0.0481732,0.684917,WR,draft_capital,559,0.292026,0.890066
z_broad,0.0664259,0.0469786,0.157373,WR,draft_capital,559,0.292026,0.47212
z_cone,0.0273554,0.0372935,0.463244,WR,draft_capital,559,0.292026,0.772073
z_shuttle,0.0683271,0.0428303,0.110645,WR,draft_capital,559,0.292026,0.374882
forty_missing,0.197086,0.178767,0.270255,WR,draft_capital,559,0.292026,0.599048
bench_missing,0.156267,0.0844183,0.0641548,WR,draft_capital,559,0.292026,0.277401
vertical_missing,0.131444,0.189208,0.487238,WR,draft_capital,559,0.292026,0.776131
broad_missing,-0.0310646,0.140662,0.825213,WR,draft_capital,559,0.292026,0.979558
agility_missing,0.0453624,0.0837879,0.588235,WR,draft_capital,559,0.292026,0.813656
power_conf,0.442021,0.0809216,4.69897e-08,WR,draft_capital,559,0.292026,2.11454e-06
final_rec_yds_share,-0.00296599,0.10752,0.977993,WR,draft_capital,559,0.292026,0.998035
final_dominator,0.124431,0.0947572,0.18913,WR,draft_capital,559,0.292026,0.528171
final_yds_per_target,0.126969,0.0595164,0.0328964,WR,draft_capital,559,0.292026,0.169181
final_rec_ypr,-0.0689518,0.062614,0.270801,WR,draft_capital,559,0.292026,0.599048
best_rec_yds_share,0.152767,0.0665696,0.0217422,WR,draft_capital,559,0.292026,0.137477
college_seasons,-0.203592,0.0523624,0.000101019,WR,draft_capital,559,0.292026,0.00165304
draft_year_c,0.0192836,0.206825,0.925716,WR,draft_capital,559,0.292026,0.986533
z_height_in,0.0603197,0.0656832,0.358439,TE,log_pick,151,0.4303,0.667681
z_weight_lb,0.101067,0.0756887,0.18178,TE,log_pick,151,0.4303,0.502168
z_forty,0.171332,0.0787011,0.0294807,TE,log_pick,151,0.4303,0.194003
z_bench,0.0201368,0.0664128,0.761732,TE,log_pick,151,0.4303,0.939431
z_vertical,-0.0184017,0.104602,0.860355,TE,log_pick,151,0.4303,0.951186
z_broad,0.178802,0.103066,0.0827714,TE,log_pick,151,0.4303,0.341882
z_cone,0.0486654,0.0611887,0.42642,TE,log_pick,151,0.4303,0.70452
z_shuttle,0.110344,0.0708254,0.11924,TE,log_pick,151,0.4303,0.404899
forty_missing,0.276464,0.177723,0.119807,TE,log_pick,151,0.4303,0.404899
bench_missing,0.0320222,0.137811,0.816256,TE,log_pick,151,0.4303,0.939431
vertical_missing,0.346757,0.21024,0.0990782,TE,log_pick,151,0.4303,0.387473
broad_missing,0.0827353,0.207989,0.690787,TE,log_pick,151,0.4303,0.912371
agility_missing,-0.34869,0.161295,0.0306321,TE,log_pick,151,0.4303,0.194003
age_at_draft,-0.095891,0.0698473,0.169794,TE,log_pick,151,0.4303,0.4888
power_conf,0.218117,0.165974,0.188793,TE,log_pick,151,0.4303,0.50522
final_rec_yds_share,0.184943,0.119423,0.12147,TE,log_pick,151,0.4303,0.404899
final_rec_ypg,0.11852,0.134951,0.379808,TE,log_pick,151,0.4303,0.670458
final_yds_per_target,0.098273,0.0946799,0.299293,TE,log_pick,151,0.4303,0.60064
final_rec_ypr,-0.0585005,0.109718,0.593901,TE,log_pick,151,0.4303,0.870883
college_seasons,-0.118656,0.0647661,0.0669422,TE,log_pick,151,0.4303,0.300957
draft_year_c,0.233352,0.236224,0.323231,TE,log_pick,151,0.4303,0.623268
z_height_in,0.442242,0.233333,0.0580492,TE,drafted,230,0.257543,0.282402
z_weight_lb,0.433457,0.244024,0.0756857,TE,drafted,230,0.257543,0.3083
