pos_group,n,oos_spearman_all,oos_spearman_drafted,folds
QB,477,0.369378,0.299023,27
RB,901,0.433754,0.349296,27
WR,1247,0.42688,0.310181,27
TE,512,0.360347,0.253953,27
OT,620,0.434091,0.350713,25
IOL,853,0.361436,0.218638,27
EDGE,925,0.430482,0.378184,27
IDL,707,0.319064,0.241705,27
LB,792,0.402521,0.304297,27
CB,906,0.423617,0.28756,27
S,714,0.391529,0.31919,27
