feature,coef,std_err,p_value,pos_group,target,n,r2,q_value
z_vertical,-0.159005,0.101459,0.117071,RB,drafted,901,0.147023,0.295221
z_broad,0.282738,0.11978,0.0182514,RB,drafted,901,0.147023,0.0882153
z_cone,0.0571191,0.111364,0.608017,RB,drafted,901,0.147023,0.7407
z_shuttle,0.136768,0.101799,0.179105,RB,drafted,901,0.147023,0.371004
forty_missing,0.167474,0.330681,0.612539,RB,drafted,901,0.147023,0.7407
bench_missing,0.0518589,0.176566,0.76898,RB,drafted,901,0.147023,0.857709
vertical_missing,-0.383158,0.488318,0.43266,RB,drafted,901,0.147023,0.583588
broad_missing,-0.0113951,0.469447,0.980634,RB,drafted,901,0.147023,0.986303
agility_missing,0.00459094,0.184188,0.980115,RB,drafted,901,0.147023,0.986303
power_conf,0.354307,0.189865,0.0620277,RB,drafted,901,0.147023,0.203638
fbs,0.81208,0.328764,0.0135076,RB,drafted,901,0.147023,0.0691273
draft_year_c,-0.206243,0.12244,0.0920957,RB,drafted,901,0.147023,0.253586
z_height_in,-0.0531701,0.0376902,0.158329,RB,draft_capital,901,0.238807,0.284012
z_weight_lb,0.284511,0.0484974,4.45038e-09,RB,draft_capital,901,0.238807,5.95666e-08
z_forty,0.383476,0.0397692,5.287e-22,RB,draft_capital,901,0.238807,2.29984e-20
z_bench,-0.0184134,0.0263885,0.485313,RB,draft_capital,901,0.238807,0.634921
z_vertical,-0.000792636,0.0380191,0.983367,RB,draft_capital,901,0.238807,0.989051
z_broad,0.106688,0.0390809,0.00633492,RB,draft_capital,901,0.238807,0.0275506
z_cone,0.0512296,0.03414,0.133465,RB,draft_capital,901,0.238807,0.24971
z_shuttle,-0.0320502,0.0324664,0.323553,RB,draft_capital,901,0.238807,0.488725
forty_missing,-0.0478532,0.116543,0.681362,RB,draft_capital,901,0.238807,0.789296
bench_missing,0.0990178,0.0635409,0.119154,RB,draft_capital,901,0.238807,0.235601
vertical_missing,-0.286523,0.224935,0.202733,RB,draft_capital,901,0.238807,0.341785
broad_missing,0.355184,0.21766,0.102716,RB,draft_capital,901,0.238807,0.212383
agility_missing,0.030626,0.0556942,0.582391,RB,draft_capital,901,0.238807,0.707325
power_conf,0.117986,0.0647626,0.0684812,RB,draft_capital,901,0.238807,0.156786
