pos_group,target,group,n,full_r2,delta_r2,partial_r2,f_stat,p_value,q_value
TE,draft_capital,skipped_drills,512,0.247807,0.0091583,0.012029,1.20537,0.305386,0.34568
TE,draft_capital,school_tier,512,0.247807,0.0215916,0.0279039,7.10446,0.000907878,0.00227668
OT,log_pick,size,421,0.260988,0.0354267,0.0457449,9.65947,7.98718e-05,0.000260382
OT,log_pick,speed,421,0.260988,0.0434549,0.0555357,23.6969,1.62174e-06,6.60859e-06
OT,log_pick,strength,421,0.260988,0.00174574,0.0023567,0.951992,0.329798,0.370739
OT,log_pick,explosion,421,0.260988,0.00659515,0.00884534,1.79824,0.166916,0.209287
OT,log_pick,agility,421,0.260988,0.00501911,0.00674583,1.36852,0.255664,0.299808
OT,log_pick,skipped_drills,421,0.260988,0.00197415,0.00266422,0.21531,0.955936,0.955936
OT,log_pick,age,421,0.260988,0.0885867,0.107041,48.3083,1.47337e-11,1.60106e-10
OT,log_pick,school_tier,421,0.260988,0.0104868,0.0139917,2.85933,0.0584703,0.0866423
OT,draft_capital,size,626,0.235146,0.0514866,0.06307,20.4976,2.42567e-09,1.46438e-08
OT,draft_capital,speed,626,0.235146,0.0524962,0.0642273,41.7991,2.07573e-10,1.87969e-09
OT,draft_capital,strength,626,0.235146,0.0030076,0.00391685,2.39474,0.122263,0.158166
OT,draft_capital,explosion,626,0.235146,0.00879349,0.0113663,3.50082,0.0307812,0.0522639
OT,draft_capital,agility,626,0.235146,0.00712932,0.00923507,2.83829,0.0593001,0.0870803
OT,draft_capital,skipped_drills,626,0.235146,0.00608085,0.00788762,0.96835,0.436415,0.480646
OT,draft_capital,school_tier,626,0.235146,0.0332747,0.0416909,13.2472,2.33595e-06,9.0657e-06
IOL,log_pick,size,492,0.156991,0.0238259,0.0274861,6.69833,0.00135302,0.00319627
IOL,log_pick,speed,492,0.156991,0.0250607,0.0288694,14.0909,0.000195805,0.000569934
IOL,log_pick,strength,492,0.156991,0.00246375,0.00291405,1.3853,0.239791,0.287397
IOL,log_pick,explosion,492,0.156991,0.0100434,0.0117735,2.82356,0.0603933,0.0878939
IOL,log_pick,agility,492,0.156991,0.00240748,0.00284769,0.676829,0.508717,0.538447
IOL,log_pick,skipped_drills,492,0.156991,0.0168038,0.0195436,1.88966,0.0946623,0.128583
IOL,log_pick,age,492,0.156991,0.0372777,0.0423473,20.9602,5.99918e-06,2.22242e-05
IOL,log_pick,school_tier,492,0.156991,0.0114183,0.0133637,3.2101,0.0412315,0.0640071
IOL,draft_capital,size,853,0.180408,0.0426208,0.0494318,21.737,6.2662e-10,4.73522e-09
IOL,draft_capital,speed,853,0.180408,0.0249054,0.0294914,25.404,5.70116e-07,2.51159e-06
IOL,draft_capital,strength,853,0.180408,0.00678422,0.00820961,6.92004,0.00868034,0.0166458
IOL,draft_capital,explosion,853,0.180408,0.0120897,0.0145365,6.16587,0.00219662,0.00490479
IOL,draft_capital,agility,853,0.180408,0.0069356,0.00839125,3.53723,0.0295302,0.0506675
IOL,draft_capital,skipped_drills,853,0.180408,0.0212092,0.025225,4.32677,0.000681461,0.0017356
IOL,draft_capital,school_tier,853,0.180408,0.017099,0.0204364,8.72065,0.000178499,0.000538802
EDGE,log_pick,size,647,0.312788,0.0602593,0.0806175,27.5774,3.30798e-12,4.1477e-11
EDGE,log_pick,speed,647,0.312788,0.0843894,0.109369,77.241,1.43712e-17,3.34643e-16
EDGE,log_pick,strength,647,0.312788,0.0019002,0.00275746,1.73924,0.187715,0.231799
EDGE,log_pick,explosion,647,0.312788,0.00490502,0.00708698,2.24476,0.106801,0.141533
EDGE,log_pick,agility,647,0.312788,0.0112703,0.0161355,5.15782,0.00600005,0.0120742
EDGE,log_pick,skipped_drills,647,0.312788,0.0295674,0.0412503,5.41256,6.94814e-05,0.000231132
EDGE,log_pick,age,647,0.312788,0.0725814,0.0955279,66.4333,1.96054e-15,3.19568e-14
EDGE,log_pick,school_tier,647,0.312788,0.0112074,0.0160469,5.12904,0.00617238,0.0122695
EDGE,draft_capital,size,925,0.25899,0.0620816,0.0773033,38.036,1.37013e-16,2.48146e-15
EDGE,draft_capital,speed,925,0.25899,0.0909869,0.10936,111.491,1.15988e-24,6.30202e-23
EDGE,draft_capital,strength,925,0.25899,0.000421816,0.000568922,0.516875,0.472363,0.513301
EDGE,draft_capital,explosion,925,0.25899,0.00962323,0.0128202,5.89594,0.002857,0.00620922
EDGE,draft_capital,agility,925,0.25899,0.0128243,0.0170121,7.85716,0.000413878,0.00111418
EDGE,draft_capital,skipped_drills,925,0.25899,0.0144273,0.0190979,3.53571,0.00358552,0.00768999
EDGE,draft_capital,school_tier,925,0.25899,0.0110889,0.0147439,6.7939,0.00117844,0.00282478
IDL,log_pick,size,492,0.223214,0.0465366,0.0565229,14.1985,1.02643e-06,4.40285e-06
IDL,log_pick,speed,492,0.223214,0.0225713,0.0282369,13.7732,0.000230739,0.000659831
IDL,log_pick,strength,492,0.223214,0.0103613,0.0131631,6.32253,0.0122514,0.0229537
IDL,log_pick,explosion,492,0.223214,0.0127551,0.0161551,3.89163,0.0210675,0.0374095
IDL,log_pick,agility,492,0.223214,0.0194691,0.0244509,5.9401,0.0028317,0.00620922
IDL,log_pick,skipped_drills,492,0.223214,0.0101703,0.0129236,1.2412,0.288616,0.331299
IDL,log_pick,age,492,0.223214,0.061973,0.0738866,37.8164,1.65263e-09,1.07752e-08
IDL,log_pick,school_tier,492,0.223214,0.0110035,0.0139676,3.3572,0.0356629,0.0587176
IDL,draft_capital,size,707,0.19086,0.0631587,0.0724049,26.9295,5.47859e-12,6.37864e-11
IDL,draft_capital,speed,707,0.19086,0.0474059,0.0553454,40.4257,3.7144e-10,3.07374e-09
IDL,draft_capital,strength,707,0.19086,0.00980319,0.0119705,8.35974,0.0039569,0.0083763
IDL,draft_capital,explosion,707,0.19086,0.00344903,0.00424449,1.47059,0.230509,0.278318
IDL,draft_capital,agility,707,0.19086,0.010056,0.0122754,4.28766,0.0141049,0.0255456
IDL,draft_capital,skipped_drills,707,0.19086,0.00658105,0.00806777,1.12241,0.346947,0.387345
IDL,draft_capital,school_tier,707,0.19086,0.0153193,0.018581,6.53182,0.00154805,0.00360476
LB,log_pick,size,510,0.244721,0.0287977,0.0367281,9.37961,0.000100514,0.000321249
LB,log_pick,speed,510,0.244721,0.0528679,0.0654187,34.4389,8.08964e-09,4.54694e-08
LB,log_pick,strength,510,0.244721,0.00201128,0.00265589,1.31018,0.252919,0.298738
LB,log_pick,explosion,510,0.244721,0.00880602,0.0115249,2.86819,0.0577522,0.0863634
LB,log_pick,agility,510,0.244721,0.00211438,0.00279165,0.688669,0.502728,0.538447
LB,log_pick,skipped_drills,510,0.244721,0.0157759,0.0204601,2.05533,0.0697178,0.100566
LB,log_pick,age,510,0.244721,0.0627509,0.0767098,40.8769,3.77146e-10,3.07374e-09
LB,log_pick,school_tier,510,0.244721,0.00765938,0.0100393,2.49472,0.083563,0.116417
LB,draft_capital,size,792,0.234737,0.0365115,0.0455384,18.488,1.43353e-08,7.53758e-08
LB,draft_capital,speed,792,0.234737,0.0845768,0.0995209,85.6529,2.0503e-19,6.68397e-18
LB,draft_capital,strength,792,0.234737,0.000107349,0.000140258,0.108715,0.741701,0.76036
