pos_group,feature,target,n,spearman_rho,p_value,q_value
RB,final_total_td_per_game,draft_capital,364,0.373244,1.77994e-13,1.56029e-12
RB,college_seasons,log_pick,211,-0.118189,0.0867866,0.113511
RB,college_seasons,draft_capital,364,-0.116302,0.0264995,0.0389921
WR,z_height_in,log_pick,751,0.0723357,0.0475228,0.065483
WR,z_height_in,draft_capital,1242,-0.0382838,0.177551,0.218361
WR,z_weight_lb,log_pick,751,0.0850811,0.0197038,0.0299556
WR,z_weight_lb,draft_capital,1242,0.00924372,0.744843,0.774938
WR,z_forty,log_pick,708,0.225768,1.2376e-09,6.62197e-09
WR,z_forty,draft_capital,1162,0.425807,2.22618e-52,9.17186e-50
WR,z_bench,log_pick,321,0.150132,0.00704681,0.0121476
WR,z_bench,draft_capital,554,0.186242,1.02241e-05,3.00881e-05
WR,z_vertical,log_pick,600,0.204942,4.11814e-07,1.45015e-06
WR,z_vertical,draft_capital,1009,0.251171,5.55667e-16,6.18743e-15
WR,z_broad,log_pick,578,0.20014,1.23187e-06,4.16009e-06
WR,z_broad,draft_capital,979,0.242062,1.60741e-14,1.61525e-13
WR,z_cone,log_pick,410,0.0966296,0.050559,0.0689745
WR,z_cone,draft_capital,716,0.231354,3.72865e-10,2.22638e-09
WR,z_shuttle,log_pick,424,0.0908406,0.0616415,0.0819236
WR,z_shuttle,draft_capital,740,0.205648,1.64967e-08,7.23049e-08
WR,z_speed_score,log_pick,706,0.263052,1.22487e-12,9.70473e-12
WR,z_speed_score,draft_capital,1159,0.374764,5.89546e-40,4.04822e-38
WR,z_bmi,log_pick,751,0.0430392,0.238779,0.283507
WR,z_bmi,draft_capital,1242,0.05838,0.0396755,0.0565616
WR,athletic_composite,log_pick,727,0.261891,7.24178e-13,5.85023e-12
WR,athletic_composite,draft_capital,1203,0.403348,2.80501e-48,3.85222e-46
WR,drills_skipped,log_pick,753,0.206851,1.01137e-08,4.73504e-08
WR,drills_skipped,draft_capital,1247,0.142503,4.35029e-07,1.51892e-06
WR,age_at_draft,log_pick,730,-0.30421,4.27022e-17,5.17451e-16
WR,power_conf,log_pick,753,0.161136,8.85339e-06,2.64319e-05
WR,power_conf,draft_capital,1247,0.162108,8.56926e-09,4.10527e-08
WR,fbs,log_pick,753,0.0969189,0.00778198,0.0131941
WR,fbs,draft_capital,1247,0.119049,2.50065e-05,6.77808e-05
WR,final_rec_yds_share,log_pick,327,0.248374,5.47784e-06,1.6969e-05
WR,final_rec_yds_share,draft_capital,559,0.244628,4.62552e-09,2.26871e-08
WR,final_dominator,log_pick,327,0.249283,5.04787e-06,1.58757e-05
WR,final_dominator,draft_capital,559,0.238277,1.17458e-08,5.31787e-08
WR,final_yds_per_target,log_pick,326,0.188922,0.000606044,0.00129373
WR,final_yds_per_target,draft_capital,558,0.182472,1.44341e-05,4.04548e-05
WR,final_rec_ypr,log_pick,326,0.15201,0.00595841,0.0104909
WR,final_rec_ypr,draft_capital,558,0.130226,0.00205308,0.00402795
WR,best_rec_yds_share,log_pick,327,0.193686,0.000427567,0.000937125
WR,best_rec_yds_share,draft_capital,559,0.228744,4.53104e-08,1.79499e-07
WR,college_seasons,log_pick,327,-0.152798,0.00562684,0.0100794
WR,college_seasons,draft_capital,559,-0.100071,0.0179507,0.0279083
WR,breakout_age,log_pick,271,0.178222,0.00324061,0.00605821
TE,z_height_in,log_pick,335,0.131782,0.0157987,0.0251316
TE,z_height_in,draft_capital,509,0.134668,0.00232937,0.0045269
TE,z_weight_lb,log_pick,335,0.0675684,0.217392,0.262689
TE,z_weight_lb,draft_capital,509,0.0510278,0.25049,0.295708
TE,z_forty,log_pick,299,0.264548,3.5146e-06,1.12249e-05
TE,z_forty,draft_capital,452,0.398064,1.29587e-18,1.9774e-17
TE,z_bench,log_pick,236,0.226687,0.000448539,0.000972621
TE,z_bench,draft_capital,354,0.275835,1.33402e-07,4.90728e-07
TE,z_vertical,log_pick,258,0.198085,0.00138375,0.0028084
TE,z_vertical,draft_capital,388,0.27955,2.13388e-08,9.06348e-08
TE,z_broad,log_pick,248,0.256345,4.40766e-05,0.000116806
TE,z_broad,draft_capital,379,0.296586,3.91261e-09,1.96585e-08
TE,z_cone,log_pick,203,0.225322,0.00122847,0.00251805
TE,z_cone,draft_capital,308,0.267685,1.87905e-06,6.19336e-06
TE,z_shuttle,log_pick,210,0.165862,0.0161321,0.0254209
TE,z_shuttle,draft_capital,316,0.233005,2.8732e-05,7.73699e-05
TE,z_speed_score,log_pick,299,0.33156,4.19691e-09,2.08329e-08
TE,z_speed_score,draft_capital,452,0.456764,1.11371e-24,2.41499e-23
TE,z_bmi,log_pick,335,-0.0335528,0.540541,0.595463
TE,z_bmi,draft_capital,509,-0.0536789,0.226684,0.272285
TE,athletic_composite,log_pick,316,0.288122,1.86387e-07,6.7361e-07
TE,athletic_composite,draft_capital,478,0.388123,1.23837e-18,1.96234e-17
TE,drills_skipped,log_pick,335,0.067568,0.217395,0.262689
TE,drills_skipped,draft_capital,512,0.00159988,0.971193,0.97593
TE,age_at_draft,log_pick,327,-0.223554,4.52672e-05,0.000118071
TE,power_conf,log_pick,335,0.0748173,0.171883,0.21266
TE,power_conf,draft_capital,512,0.149392,0.000696037,0.0014706
TE,fbs,log_pick,335,0.0656359,0.230864,0.276499
TE,fbs,draft_capital,512,0.107258,0.0151802,0.0244306
TE,final_rec_yds_share,log_pick,151,0.278094,0.000545558,0.00117068
TE,final_rec_yds_share,draft_capital,230,0.347366,6.34717e-08,2.42133e-07
TE,final_rec_ypg,log_pick,151,0.340239,1.91633e-05,5.22867e-05
TE,final_rec_ypg,draft_capital,230,0.359417,2.02665e-08,8.69772e-08
TE,final_yds_per_target,log_pick,151,0.226947,0.00507469,0.00920314
TE,final_yds_per_target,draft_capital,230,0.164684,0.0123824,0.0201642
TE,final_rec_ypr,log_pick,151,0.207818,0.0104519,0.0172939
TE,final_rec_ypr,draft_capital,230,0.210225,0.00134241,0.00273798
TE,college_seasons,log_pick,151,-0.11796,0.149159,0.186789
TE,college_seasons,draft_capital,230,-0.155369,0.0183844,0.0284416
OT,z_height_in,log_pick,450,-0.0313099,0.507652,0.562239
OT,z_height_in,draft_capital,626,-0.00449615,0.91061,0.928642
OT,z_weight_lb,log_pick,450,0.0777583,0.0994738,0.128878
OT,z_weight_lb,draft_capital,626,0.0841834,0.035222,0.0505626
OT,z_forty,log_pick,419,0.335741,1.69135e-12,1.31479e-11
OT,z_forty,draft_capital,569,0.348146,1.17466e-17,1.56116e-16
OT,z_bench,log_pick,300,0.13303,0.0211785,0.0318451
OT,z_bench,draft_capital,400,0.200551,5.35484e-05,0.000137887
OT,z_vertical,log_pick,360,0.205735,8.42025e-05,0.000205275
OT,z_vertical,draft_capital,489,0.24253,5.61315e-08,2.16132e-07
OT,z_broad,log_pick,355,0.28984,2.67357e-08,1.11264e-07
OT,z_broad,draft_capital,477,0.274853,1.02733e-09,5.56922e-09
OT,z_cone,log_pick,302,0.181508,0.00153733,0.0031048
OT,z_cone,draft_capital,405,0.26035,1.06548e-07,3.992e-07
OT,z_shuttle,log_pick,310,0.173175,0.00221414,0.00432335
OT,z_shuttle,draft_capital,412,0.267739,3.40767e-08,1.39006e-07
OT,z_speed_score,log_pick,419,0.384159,3.4898e-16,3.99388e-15
OT,z_speed_score,draft_capital,569,0.396942,6.48787e-23,1.27286e-21
OT,z_bmi,log_pick,450,0.0729215,0.12243,0.154728
OT,z_bmi,draft_capital,626,0.0889864,0.025987,0.038375
OT,athletic_composite,log_pick,433,0.323462,5.28682e-12,3.88959e-11
OT,athletic_composite,draft_capital,596,0.350187,1.23224e-18,1.96234e-17
OT,drills_skipped,log_pick,450,0.0953491,0.0432133,0.0603521
OT,drills_skipped,draft_capital,626,-0.0487764,0.222969,0.268606
OT,age_at_draft,log_pick,421,-0.320074,1.74899e-11,1.18128e-10
OT,power_conf,log_pick,450,0.111593,0.0178817,0.0279063
OT,power_conf,draft_capital,626,0.201186,3.86259e-07,1.37189e-06
OT,fbs,log_pick,450,0.0884608,0.0607935,0.0811368
OT,fbs,draft_capital,626,0.174021,1.19353e-05,3.46293e-05
IOL,z_height_in,log_pick,507,0.0261509,0.556883,0.610201
IOL,z_height_in,draft_capital,851,0.0156752,0.647936,0.695182
IOL,z_weight_lb,log_pick,507,0.105433,0.0175607,0.0275095
IOL,z_weight_lb,draft_capital,852,0.0689573,0.0441949,0.0615145
IOL,z_forty,log_pick,453,0.206664,9.23277e-06,2.73662e-05
IOL,z_forty,draft_capital,767,0.275381,8.17704e-15,8.63831e-14
IOL,z_bench,log_pick,357,0.15904,0.00258137,0.00494663
IOL,z_bench,draft_capital,582,0.24802,1.31491e-09,6.85751e-09
IOL,z_vertical,log_pick,395,0.175934,0.000443099,0.000965908
IOL,z_vertical,draft_capital,663,0.218571,1.29889e-08,5.81678e-08
IOL,z_broad,log_pick,392,0.193517,0.000115392,0.000276404
IOL,z_broad,draft_capital,654,0.241309,4.05441e-10,2.38631e-09
IOL,z_cone,log_pick,347,0.0606282,0.260022,0.305211
IOL,z_cone,draft_capital,576,0.280013,7.75061e-12,5.50561e-11
IOL,z_shuttle,log_pick,360,0.071408,0.176412,0.21761
IOL,z_shuttle,draft_capital,593,0.271401,1.79653e-11,1.19382e-10
IOL,z_speed_score,log_pick,453,0.246543,1.06582e-07,3.992e-07
IOL,z_speed_score,draft_capital,767,0.31209,8.66059e-19,1.48673e-17
IOL,z_bmi,log_pick,507,0.0528752,0.23465,0.28022
IOL,z_bmi,draft_capital,851,0.0615636,0.0726553,0.0962508
IOL,athletic_composite,log_pick,480,0.196933,1.38667e-05,3.91308e-05
IOL,athletic_composite,draft_capital,808,0.308496,2.82489e-19,5.06024e-18
IOL,drills_skipped,log_pick,508,-0.00773039,0.862017,0.88346
IOL,drills_skipped,draft_capital,853,-0.0370216,0.280123,0.325402
IOL,age_at_draft,log_pick,492,-0.179478,6.24275e-05,0.00015683
IOL,power_conf,log_pick,508,0.0730303,0.100143,0.129338
IOL,power_conf,draft_capital,853,0.139177,4.52797e-05,0.000118071
IOL,fbs,log_pick,508,0.0466631,0.29385,0.340074
IOL,fbs,draft_capital,853,0.0918793,0.00724888,0.0124439
EDGE,z_height_in,log_pick,668,0.117,0.00245609,0.00475074
EDGE,z_height_in,draft_capital,922,0.109356,0.000880989,0.00183317
EDGE,z_weight_lb,log_pick,668,0.0739033,0.0562471,0.0764812
EDGE,z_weight_lb,draft_capital,922,0.0684806,0.0376177,0.0538143
EDGE,z_forty,log_pick,607,0.303196,2.25806e-14,2.21505e-13
EDGE,z_forty,draft_capital,829,0.394512,2.90666e-32,9.21187e-31
EDGE,z_bench,log_pick,473,0.0348743,0.449236,0.504319
EDGE,z_bench,draft_capital,656,0.139944,0.000324168,0.000729822
EDGE,z_vertical,log_pick,531,0.119914,0.00566258,0.0100995
EDGE,z_vertical,draft_capital,710,0.259042,2.37907e-12,1.81514e-11
EDGE,z_broad,log_pick,527,0.237733,3.31493e-08,1.36575e-07
EDGE,z_broad,draft_capital,705,0.319737,3.20226e-18,4.39776e-17
EDGE,z_cone,log_pick,402,0.180148,0.000282919,0.000646216
EDGE,z_cone,draft_capital,541,0.278394,4.36771e-11,2.85635e-10
EDGE,z_shuttle,log_pick,411,0.177465,0.000299703,0.000678448
EDGE,z_shuttle,draft_capital,553,0.265401,2.28148e-10,1.40294e-09
EDGE,z_speed_score,log_pick,606,0.385883,5.94404e-23,1.22447e-21
EDGE,z_speed_score,draft_capital,828,0.472708,2.54766e-47,2.62409e-45
EDGE,z_bmi,log_pick,668,-0.0162993,0.674116,0.715813
EDGE,z_bmi,draft_capital,922,-0.000717406,0.982644,0.985035
EDGE,athletic_composite,log_pick,644,0.26386,1.01797e-11,7.1085e-11
EDGE,athletic_composite,draft_capital,884,0.376289,4.06692e-31,1.19684e-29
EDGE,drills_skipped,log_pick,671,0.121151,0.00166653,0.00334932
EDGE,drills_skipped,draft_capital,925,0.0151925,0.644466,0.693263
EDGE,age_at_draft,log_pick,647,-0.323102,3.46462e-17,4.32552e-16
EDGE,power_conf,log_pick,671,0.0782661,0.0426922,0.0598272
EDGE,power_conf,draft_capital,925,0.0911296,0.00554356,0.00997356
EDGE,fbs,log_pick,671,0.156983,4.42276e-05,0.000116806
EDGE,fbs,draft_capital,925,0.131077,6.3763e-05,0.00015884
EDGE,final_def_sacks_pg,log_pick,247,0.19804,0.00176185,0.00352369
EDGE,final_def_sacks_pg,draft_capital,333,0.212202,9.52832e-05,0.000230922
EDGE,final_def_sack_share,log_pick,242,0.141622,0.0276064,0.0404763
EDGE,final_def_sack_share,draft_capital,328,0.129567,0.0188999,0.0290324
EDGE,career_def_sacks_pg,log_pick,247,0.17771,0.005093,0.00920314
EDGE,career_def_sacks_pg,draft_capital,333,0.217763,6.14821e-05,0.000155403
EDGE,final_def_ff_pg,log_pick,247,0.100154,0.116413,0.148031
EDGE,final_def_ff_pg,draft_capital,333,0.138067,0.0116653,0.0190719
EDGE,final_def_pbu_pg,log_pick,247,-0.0252632,0.692776,0.731856
EDGE,final_def_pbu_pg,draft_capital,333,0.000571412,0.991712,0.991712
EDGE,college_seasons,log_pick,247,-0.0950508,0.13632,0.171231
EDGE,college_seasons,draft_capital,333,-0.0468439,0.394173,0.447381
IDL,z_height_in,log_pick,499,0.101912,0.0228007,0.0340358
IDL,z_height_in,draft_capital,705,0.103787,0.00581056,0.010289
IDL,z_weight_lb,log_pick,499,0.0553119,0.217419,0.262689
IDL,z_weight_lb,draft_capital,707,0.102264,0.00649931,0.0113462
IDL,z_forty,log_pick,452,0.204034,1.2318e-05,3.54895e-05
IDL,z_forty,draft_capital,635,0.285207,2.37988e-13,2.04273e-12
IDL,z_bench,log_pick,340,0.161253,0.00286427,0.00541321
IDL,z_bench,draft_capital,482,0.170788,0.000164868,0.000392634
IDL,z_vertical,log_pick,361,0.108207,0.0398953,0.0566789
IDL,z_vertical,draft_capital,527,0.102186,0.0189556,0.0290324
IDL,z_broad,log_pick,347,0.15965,0.00286032,0.00541321
IDL,z_broad,draft_capital,506,0.133886,0.00254574,0.00490115
IDL,z_cone,log_pick,287,0.132891,0.0243545,0.0362241
IDL,z_cone,draft_capital,416,0.139515,0.00435884,0.00798153
IDL,z_shuttle,log_pick,298,0.0207818,0.720882,0.753816
IDL,z_shuttle,draft_capital,430,0.144358,0.00269545,0.00514132
IDL,z_speed_score,log_pick,452,0.260145,1.9958e-08,8.65548e-08
IDL,z_speed_score,draft_capital,635,0.361009,5.56158e-21,1.04153e-19
IDL,z_bmi,log_pick,499,-0.0231835,0.6054,0.656381
IDL,z_bmi,draft_capital,705,0.0195154,0.604946,0.656381
IDL,athletic_composite,log_pick,478,0.203871,7.02664e-06,2.16043e-05
IDL,athletic_composite,draft_capital,674,0.230928,1.30893e-09,6.85751e-09
IDL,drills_skipped,log_pick,499,0.0196394,0.661638,0.70438
IDL,drills_skipped,draft_capital,707,0.0443666,0.238726,0.283507
IDL,age_at_draft,log_pick,492,-0.267976,1.54409e-09,7.95207e-09
IDL,power_conf,log_pick,499,0.103058,0.0213075,0.0319225
IDL,power_conf,draft_capital,707,0.08862,0.0184318,0.0284416
IDL,fbs,log_pick,499,0.100179,0.0252312,0.0373931
IDL,fbs,draft_capital,707,0.0740629,0.0490091,0.0670823
IDL,final_def_sacks_pg,log_pick,185,0.101234,0.170338,0.211384
IDL,final_def_sacks_pg,draft_capital,255,0.225689,0.000279882,0.000645096
IDL,final_def_sack_share,log_pick,182,0.0542967,0.466618,0.522029
IDL,final_def_sack_share,draft_capital,250,0.213367,0.000684018,0.00145266
IDL,career_def_sacks_pg,log_pick,185,0.0723529,0.327719,0.377151
IDL,career_def_sacks_pg,draft_capital,255,0.204915,0.000997769,0.0020554
IDL,final_def_pbu_pg,log_pick,185,-0.0525734,0.477258,0.531433
IDL,final_def_pbu_pg,draft_capital,255,-0.0143089,0.820125,0.844287
IDL,college_seasons,log_pick,185,0.0797776,0.280383,0.325402
IDL,college_seasons,draft_capital,255,-0.039007,0.535213,0.591174
LB,z_height_in,log_pick,516,0.0902672,0.0403948,0.0571913
LB,z_height_in,draft_capital,789,0.110937,0.00180344,0.00358946
LB,z_weight_lb,log_pick,516,0.0447902,0.309877,0.357618
LB,z_weight_lb,draft_capital,789,0.0980997,0.00581876,0.010289
LB,z_forty,log_pick,459,0.284522,5.3726e-10,3.03221e-09
LB,z_forty,draft_capital,694,0.407059,4.43638e-29,1.14237e-27
LB,z_bench,log_pick,356,0.0679166,0.201102,0.245858
LB,z_bench,draft_capital,539,0.197733,3.73266e-06,1.18297e-05
LB,z_vertical,log_pick,398,0.243486,8.81309e-07,3.00082e-06
LB,z_vertical,draft_capital,598,0.30892,1.08941e-14,1.1221e-13
LB,z_broad,log_pick,400,0.280977,1.08075e-08,5.00303e-08
LB,z_broad,draft_capital,603,0.32564,2.315e-16,2.72508e-15
LB,z_cone,log_pick,284,0.171417,0.00376136,0.00698054
