pos_group,feature,target,n,spearman_rho,p_value,q_value
S,z_bench,log_pick,347,0.0211235,0.694976,0.732302
S,z_bench,draft_capital,526,0.0958698,0.0279078,0.0407731
S,z_vertical,log_pick,371,0.185468,0.000328751,0.000736117
S,z_vertical,draft_capital,576,0.267142,7.20806e-11,4.49958e-10
S,z_broad,log_pick,366,0.180542,0.000519071,0.00111967
S,z_broad,draft_capital,568,0.259576,3.36943e-10,2.04148e-09
S,z_cone,log_pick,238,0.17091,0.00823552,0.0138491
S,z_cone,draft_capital,385,0.242592,1.45985e-06,4.8899e-06
S,z_shuttle,log_pick,239,0.172217,0.00762093,0.0129745
S,z_shuttle,draft_capital,393,0.215287,1.67075e-05,4.651e-05
S,z_speed_score,log_pick,415,0.328502,6.72884e-12,4.86365e-11
S,z_speed_score,draft_capital,642,0.468957,2.04016e-36,1.05068e-34
S,z_bmi,log_pick,460,0.0539794,0.247918,0.293512
S,z_bmi,draft_capital,708,0.0715408,0.057086,0.0766359
S,athletic_composite,log_pick,448,0.267546,8.80641e-09,4.17039e-08
S,athletic_composite,draft_capital,691,0.384278,9.74925e-26,2.23149e-24
S,drills_skipped,log_pick,466,0.0943143,0.0418473,0.0588434
S,drills_skipped,draft_capital,714,0.097644,0.00903321,0.0151288
S,age_at_draft,log_pick,457,-0.216549,2.98039e-06,9.66868e-06
S,power_conf,log_pick,466,0.100562,0.0299686,0.043323
S,power_conf,draft_capital,714,0.0739658,0.0481925,0.0661843
S,fbs,log_pick,466,0.0736925,0.11213,0.143229
S,fbs,draft_capital,714,0.019549,0.602018,0.656168
S,final_def_int_pg,log_pick,204,0.215543,0.00196065,0.0038836
S,final_def_int_pg,draft_capital,316,0.203086,0.00027931,0.000645096
S,final_def_pbu_pg,log_pick,204,0.048081,0.494664,0.549331
S,final_def_pbu_pg,draft_capital,316,0.0207404,0.71342,0.747911
S,career_def_ball_production_pg,log_pick,204,0.205122,0.00324967,0.00605821
S,career_def_ball_production_pg,draft_capital,316,0.135804,0.0157033,0.0250766
S,final_def_sacks_pg,log_pick,204,0.0240537,0.732731,0.764267
S,final_def_sacks_pg,draft_capital,316,0.130789,0.0200319,0.0303425
S,college_seasons,log_pick,204,0.00560105,0.936628,0.95047
S,college_seasons,draft_capital,316,-0.0217285,0.700408,0.736143
