feature,coef_early,std_err_early,p_value_early,coef_late,std_err_late,p_value_late,diff,p_value_diff,pos_group,n_early,n_late,q_value_diff
z_broad,0.107943,0.0801666,0.178146,0.124256,0.08655,0.1511,0.0163128,0.890022,TE,147,180,0.966466
z_cone,0.0233376,0.0604654,0.699521,0.0703517,0.0547617,0.198901,0.047014,0.564405,TE,147,180,0.952157
z_shuttle,-0.0677541,0.0684876,0.322522,0.0852641,0.0652411,0.191244,0.153018,0.105721,TE,147,180,0.887735
forty_missing,0.502473,0.871571,0.564268,0.343422,0.178307,0.0541021,-0.159051,0.858107,TE,147,180,0.966466
bench_missing,0.400608,0.16391,0.0145224,0.0561481,0.123513,0.649401,-0.34446,0.0932771,TE,147,180,0.887735
vertical_missing,0.624014,0.462591,0.177352,0.329797,0.183876,0.0728798,-0.294217,0.554495,TE,147,180,0.952157
broad_missing,-0.496516,0.486106,0.307058,-0.0917311,0.164445,0.576966,0.404785,0.430231,TE,147,180,0.952157
agility_missing,-0.0479036,0.20198,0.812525,-0.216317,0.172973,0.211086,-0.168413,0.526529,TE,147,180,0.952157
age_at_draft,-0.0426136,0.0644776,0.508673,-0.213719,0.066115,0.00122698,-0.171105,0.0639128,TE,147,180,0.816464
power_conf,0.262454,0.142851,0.0661721,0.0812751,0.142542,0.568553,-0.181179,0.369293,TE,147,180,0.952157
fbs,0.169671,0.409062,0.678302,0.15784,0.253028,0.532757,-0.0118314,0.980376,TE,147,180,0.984255
draft_year_c,-0.517729,0.192751,0.00723136,-0.159199,0.169358,0.347209,0.35853,0.162317,TE,147,180,0.952157
z_height_in,0.0168943,0.0769797,0.826289,0.00807845,0.0862884,0.92541,-0.0088158,0.93923,OT,206,215,0.977494
z_weight_lb,0.25446,0.105512,0.0158798,0.223429,0.111095,0.0443098,-0.0310312,0.8395,OT,206,215,0.966466
z_forty,0.354413,0.108441,0.00108209,0.315009,0.1078,0.0034762,-0.0394043,0.796636,OT,206,215,0.966381
z_bench,0.0859283,0.109373,0.432077,-0.0288331,0.0799734,0.718448,-0.114761,0.396999,OT,206,215,0.952157
z_vertical,0.00980072,0.0947278,0.917596,0.058696,0.0773481,0.447939,0.0488953,0.689293,OT,206,215,0.952157
z_broad,0.0290852,0.0955525,0.760831,0.131988,0.105306,0.210069,0.102903,0.469268,OT,206,215,0.952157
z_cone,0.0772284,0.122133,0.527169,0.133608,0.115078,0.245632,0.0563797,0.736887,OT,206,215,0.959036
z_shuttle,-0.0595204,0.112075,0.595367,0.0857584,0.118512,0.469294,0.145279,0.37311,OT,206,215,0.952157
bench_missing,-0.070742,0.223697,0.75182,0.114002,0.21117,0.589296,0.184744,0.548141,OT,206,215,0.952157
vertical_missing,0.0812306,0.731867,0.911624,0.14155,0.445596,0.750739,0.0603198,0.943877,OT,206,215,0.977494
broad_missing,0.0795441,0.866966,0.926897,-0.19551,0.49533,0.693059,-0.275054,0.782955,OT,206,215,0.965569
agility_missing,0.16458,0.354343,0.642315,0.0383212,0.216253,0.859347,-0.126259,0.761013,OT,206,215,0.962301
age_at_draft,-0.237707,0.0774683,0.00215182,-0.436945,0.0728699,2.01943e-09,-0.199238,0.0610221,OT,206,215,0.816464
power_conf,0.242335,0.195279,0.214619,0.105817,0.250971,0.673296,-0.136518,0.667698,OT,206,215,0.952157
fbs,0.212457,0.227756,0.35091,0.367247,0.34969,0.293621,0.154791,0.7107,OT,206,215,0.952157
draft_year_c,-0.287551,0.22983,0.210881,-0.4549,0.27555,0.0987629,-0.167349,0.640935,OT,206,215,0.952157
z_height_in,0.0241602,0.0555431,0.663576,0.0126247,0.0499132,0.800319,-0.0115355,0.877234,IOL,209,283,0.966466
z_weight_lb,0.125645,0.0570302,0.027585,0.11883,0.0588106,0.0433256,-0.00681523,0.933699,IOL,209,283,0.977494
z_forty,0.125247,0.0560381,0.0254157,0.18134,0.0615023,0.00319308,0.0560935,0.500201,IOL,209,283,0.952157
z_bench,0.0521135,0.0473107,0.270672,0.0282861,0.0561561,0.61447,-0.0238275,0.745562,IOL,209,283,0.962301
z_vertical,0.0611514,0.0735274,0.405589,0.085063,0.0625417,0.173798,0.0239116,0.804354,IOL,209,283,0.966466
z_broad,0.00407593,0.0838393,0.961225,0.0794109,0.0758549,0.295155,0.075335,0.505209,IOL,209,283,0.952157
z_cone,0.056906,0.0807528,0.481001,0.0354344,0.0599197,0.554275,-0.0214715,0.830914,IOL,209,283,0.966466
z_shuttle,-0.053435,0.0793988,0.50095,0.00865929,0.0753716,0.908534,0.0620943,0.570582,IOL,209,283,0.952157
forty_missing,-0.258558,8.00245,0.974225,0.300074,0.167484,0.0731873,0.558632,0.944359,IOL,209,283,0.977494
bench_missing,0.145123,0.165803,0.381423,-0.0516792,0.137816,0.707669,-0.196803,0.361342,IOL,209,283,0.952157
vertical_missing,0.393213,0.36674,0.283637,0.373097,0.310868,0.230069,-0.0201155,0.966626,IOL,209,283,0.983292
broad_missing,-0.813596,0.437313,0.0628229,-0.524325,0.305944,0.086567,0.28927,0.587818,IOL,209,283,0.952157
agility_missing,0.29315,0.322905,0.363957,0.0185218,0.117615,0.874868,-0.274628,0.424215,IOL,209,283,0.952157
age_at_draft,-0.0610918,0.0643114,0.342144,-0.196981,0.0580809,0.000695139,-0.135889,0.11685,IOL,209,283,0.887735
power_conf,0.235782,0.123841,0.0569227,0.0889459,0.136941,0.516001,-0.146836,0.426447,IOL,209,283,0.952157
fbs,-0.0134508,0.220685,0.951399,0.266094,0.190649,0.162796,0.279545,0.337783,IOL,209,283,0.952157
draft_year_c,0.0294556,0.150709,0.845043,-0.464578,0.202873,0.0220219,-0.494034,0.0506051,IOL,209,283,0.816464
z_height_in,0.125275,0.0640502,0.0504788,0.166415,0.0630101,0.00826399,0.0411405,0.647032,EDGE,293,354,0.952157
z_weight_lb,0.227091,0.0780415,0.00361573,0.211422,0.0644682,0.00103998,-0.0156689,0.876986,EDGE,293,354,0.966466
z_forty,0.508162,0.0659735,1.3341e-14,0.319674,0.0777744,3.95202e-05,-0.188489,0.0645791,EDGE,293,354,0.816464
z_bench,0.0465065,0.0559512,0.405863,0.0580109,0.0563234,0.303028,0.0115045,0.884782,EDGE,293,354,0.966466
z_vertical,-0.153608,0.0774121,0.0472236,0.055915,0.0648349,0.388456,0.209523,0.037989,EDGE,293,354,0.747118
z_broad,0.198704,0.0958772,0.0382199,0.0523417,0.0730725,0.473807,-0.146363,0.224696,EDGE,293,354,0.952157
z_cone,0.153576,0.0690499,0.0261395,0.0122555,0.0689329,0.858888,-0.141321,0.147499,EDGE,293,354,0.952157
z_shuttle,-0.0152067,0.0745348,0.838337,0.111172,0.0599128,0.0635147,0.126379,0.186318,EDGE,293,354,0.952157
bench_missing,0.411503,0.16374,0.011966,0.211068,0.129491,0.103105,-0.200435,0.336983,EDGE,293,354,0.952157
vertical_missing,0.125134,0.336777,0.710219,0.50356,0.203708,0.013437,0.378427,0.336318,EDGE,293,354,0.952157
broad_missing,0.0464883,0.335547,0.88981,-0.0569594,0.178749,0.749987,-0.103448,0.785548,EDGE,293,354,0.965569
